id,favorite
"1913068","2"
"1913244","2"
"1915535","2"
"1918542","5"
"1923408","0"
"1923435","15"
"1925104","14"
"1927246",""
"1931871",""
"1935348",""
"1935479","8"
"1936862","0"
"1947608",""
"1947967",""
"1949987",""
"1953995","1"
"1955612",""
"1956506","2"
"1958962","3"
"1962823",""
"1962852","3"
"1970195","1"
"1976022",""
"1986261","1"
"1998176",""
"1998297","24"
"1999842",""
"2002728","3"
"2011407",""
"2016190","11"
"2018487","2"
"2019199",""
"2023549","4"
"2043018","3"
"2049363",""
"2052251","5"
"2054687","3"
"2055314","5"
"2059421",""
"2059617",""
"2061822","1"
"2069392","1"
"2072241","2"
"2079366","2"
"2085741","3"
"2090765","17"
"2096444",""
"2097214",""
"2098681",""
"2099003","1"
"2100433","2"
"2101151","1"
"2102148","1"
"2106680","1"
"2111845","1"
"2121047","3"
"2122080","0"
"2123975",""
"2130162","1"
"2133597","2"
"2134405","2"
"2135864",""
"2138574","19"
"2138686",""
"2138940","76"
"2139517",""
"2143182",""
"2143653","3"
"2144218","2"
"2146315","2"
"2150801","16"
"2161050","19"
"2161945","8"
"2162797",""
"2162826",""
"2162830","3"
"2165546","1"
"2175892","1"
"2179235",""
"2180206","3"
"2180354",""
"2181215","4"
"2185951","24"
"2186249",""
"2186836","4"
"2189010",""
"2191078",""
"2193172",""
"2195553",""
"2199596",""
"2200176","12"
"2200723","1"
"2200785",""
"2207402","9"
"2210623",""
"2218618","1"
"2221532",""
"2221730","3"
"2223810",""
"2224030","2"
"2224873","7"
"2225243",""
"2228441",""
"2229646",""
"2230720",""
"2230981","4"
"2232581",""
"2232618","3"
"2232646","0"
"2232834","1"
"2233761","11"
"2234951",""
"2238135","12"
"2238345",""
"2239716","1"
"2240212","1"
"2240931","12"
"2241068","1"
"2245898","1"
"2247782","4"
"2250421","3"
"2255854","1"
"2264038","4"
"2266537","0"
"2267653",""
"2268703",""
"2270215","2"
"2283577",""
"2285479","1"
"2287952",""
"2288683",""
"2289708",""
"2290570","11"
"2291942","1"
"2294628",""
"2295223","9"
"2301548",""
"2308774","20"
"2309074",""
"2314046",""
"2314809","2"
"2315066","3"
"2315873","2"
"2318465","5"
"2319313",""
"2322953","10"
"2327368",""
"2328757","0"
"2335896","12"
"2336004","1"
"2336497",""
"2342207","1"
"2343691","4"
"2361346","1"
"2362581","1"
"2363024","0"
"2363084",""
"2366223","1"
"2367274","1"
"2371772",""
"2375753","3"
"2375903","7"
"2377402","1"
"2378986",""
"2383296",""
"2383322","3"
"2383989",""
"2391488",""
"2393649","1"
"2397418","1"
"2397822","67"
"2400099",""
"2403197",""
"2403286","1"
"2408564","3"
"2413199","2"
"2419412","6"
"2419520","0"
"2419956",""
"2422226",""
"2432418",""
"2434905",""
"2435194",""
"2435536",""
"2435850","1"
"2442758",""
"2445686",""
"2446292",""
"2449169","1"
"2451588","1"
"2457795","12"
"2463687",""
"2469197",""
"2475626","1"
"2478770","1"
"2483992","4"
"2492100",""
"2493837",""
"2494877","0"
"2496209","1"
"2501237","1"
"2502938","4"
"2503996",""
"2505742",""
"2510094",""
"2510683","0"
"2514439","15"
"2518304","0"
"2521871",""
"2522770","8"
"2529213","4"
"2534127","2"
"2535542","1"
"2536210","1"
"2540943",""
"2545058","0"
"2546005","8"
"2551807","2"
"2552753",""
"2555029","4"
"2555917",""
"2558368",""
"2559255","6"
"2560807","2"
"2568335","1"
"2568841","5"
"2569805","1"
"2570043","5"
"2570847","4"
"2577116",""
"2578482","1"
"2579431","9"
"2581694","1"
"2586426","4"
"2589488",""
"2592820",""
"2593153",""
"2593817","1"
"2606049",""
"2606873","3"
"2607613","7"
"2609301","3"
"2622320","1"
"2626981","1"
"2632175","7"
"2635155","1"
"2635639",""
"2635881",""
"2638967","4"
"2639167","3"
"2642777","360"
"2644168","1"
"2645298","5"
"2651913",""
"2652092",""
"2653591","6"
"2654009","10"
"2654124","3"
"2658922","60"
"2661659",""
"2665748",""
"2666817","4"
"2667283",""
"2668639","0"
"2669632","7"
"2671295","11"
"2671306","2"
"2678138","1"
"2678475","1"
"2678488","1"
"2681788","4"
"2685512","14"
"2687864",""
"2691579","7"
"2693268","3"
"2694281","1"
"2697310","0"
"2697667",""
"2698841",""
"2698868","5"
"2704701","1"
"2708586","1"
"2715174",""
"2724441",""
"2724855",""
"2726141","1"
"2732808","3"
"2733447","3"
"2734310",""
"2735427",""
"2738677",""
"2739955",""
"2741457",""
"2746491",""
"2752266","4"
"2756160",""
"2758248","1"
"2759911",""
"2760408",""
"2762080",""
"2762769",""
"2763228","1"
"2763324",""
"2767047","3"
"2772595","1"
"2772676",""
"2773350",""
"2773892","2"
"2774722","0"
"2778256","2"
"2784772","0"
"2787653","2"
"2788017","1"
"2788210",""
"2790220",""
"2793999","1"
"2794822","1"
"2795404","6"
"2796303","2"
"2804826","9"
"2811420","1"
"2812872","2"
"2813377",""
"2818055","1"
"2821736","22"
"2823007","1"
"2828015",""
"2828534","2"
"2834039","1"
"2835646","8"
"2837401",""
"2844569",""
"2852474",""
"2864497",""
"2867747","4"
"2869404","2"
"2869771","3"
"2870036","1"
"2871650","2"
"2872176","2"
"2876129",""
"2880968","6"
"2882474","6"
"2884910","4"
"2890768","1"
"2891750",""
"2893819","116"
"2896141",""
"2898148",""
"2899626","1"
"2914151","4"
"2916075","5"
"2921508","8"
"2924150","4"
"2926897",""
"2928805","1"
"2931390","0"
"2935603",""
"2935933",""
"2941323",""
"2942172",""
"2943778","1"
"2945184","1"
"2945232",""
"2947922",""
"2949935",""
"2950371",""
"2956647","8"
"2956959","1"
"2957513","8"
"2959543","3"
"2960247",""
"2963620","6"
"2965551",""
"2969249","0"
"2969787","6"
"2973355","19"
"2974100","33"
"2975329","3"
"2980118",""
"2981866",""
"2985474","2"
"2988937",""
"2993988",""
"2997694","0"
"3002904","12"
"3004511",""
"3010071","2"
"3024094",""
"3024442",""
"3032832","2"
"3038608",""
"3040694","2"
"3042694","5"
"3043177",""
"3054106",""
"3054608","1"
"3063082",""
"3063449","1"
"3066911","0"
"3068998","1"
"3071760","16"
"3076443","16"
"3077091","1"
"3077196","8"
"3077889","0"
"3082633",""
"3085280","4"
"3087049","6"
"3090258",""
"3091249","1"
"3093078",""
"3093112","19"
"3096729",""
"3103652","43"
"3109852","2"
"3112663","2"
"3118799","3"
"3122254","3"
"3127802","2"
"3129227",""
"3134915","2"
"3135155","1"
"3135679","22"
"3135947","5"
"3137075","1"
"3139195",""
"3141384","3"
"3143033",""
"3144558","3"
"3147403",""
"3150830","22"
"3151147",""
"3151407","2"
"3155237",""
"3155826",""
"3158121","1"
"3158334","1"
"3159664",""
"3159802",""
"3160265",""
"3165537",""
"3165638","1"
"3166159","7"
"3171392","1"
"3171481","2"
"3172123","3"
"3174943",""
"3177198","3"
"3181535","3"
"3183527",""
"3185322",""
"3188171","4"
"3190552",""
"3192238","1"
"3196420",""
"3196966","1"
"3198374","2"
"3200251",""
"3205469","5"
"3208160","19"
"3221294",""
"3225640","2"
"3231354",""
"3231630","1"
"3237410","1"
"3243018","32"
"3250372",""
"3255836","3"
"3255920","1"
"3260960",""
"3265391","2"
"3279981","5"
"3280693",""
"3281683","1"
"3283425","0"
"3285979",""
"3289386",""
"3289924",""
"3290881","1"
"3291143",""
"3295871",""
"3299951","31"
"3302054","2"
"3303122","1"
"3310165",""
"3312125",""
"3317523",""
"3318853","20"
"3321174","1"
"3325029",""
"3325158","0"
"3325535","1"
"3325657","2"
"3326679",""
"3326778","6"
"3327020","5"
"3328499","1"
"3333084",""
"3336723",""
"3339876","1"
"3342484","1"
"3344488",""
"3358391",""
"3361707",""
"3361801",""
"3369365","1"
"3369480",""
"3375121","8"
"3381752",""
"3386417",""
"3386728",""
"3391643","1"
"3392040",""
"3392216",""
"3392552","1"
"3393528",""
"3400968","2"
"3401296","0"
"3402933",""
"3407554","1"
"3408373","4"
"3416798",""
"3417659","3"
"3417849","1"
"3435487","1"
"3439367",""
"3440520",""
"3443822",""
"3444503","11"
"3444898",""
"3445866","1"
"3446385",""
"3447365",""
"3451659","1"
"3451670","68"
"3453904",""
"3457719","1"
"3464229","2"
"3465561","1"
"3466258",""
"3467075",""
"3475069","77"
"3476104","1"
"3479067","3"
"3483582","5"
"3487162","1"
"3489224",""
"3492091",""
"3494325",""
"3495368","12"
"3500883","0"
"3501087","1"
"3503324",""
"3504296",""
"3504705","1"
"3505349","2"
"3510580",""
"3510706","2"
"3516719","3"
"3522342",""
"3522999",""
"3523763","2"
"3545095","1"
"3545992",""
"3546074",""
"3549681",""
"3552785","1"
"3555730",""
"3556110",""
"3561087","1"
"3561445","3"
"3561771","3"
"3566082",""
"3568240","5"
"3576806","2"
"3581665","1"
"3583502",""
"3584263","3"
"3585586","2"
"3587199","9"
"3587485",""
"3588120","6"
"3588556","1"
"3594264","1"
"3597242","5"
"3604861","3"
"3614239","5"
"3614444","2"
"3615962","1"
"3620481",""
"3622788","4"
"3628796","2"
"3629277","1"
"3630101","4"
"3635534",""
"3636058",""
"3636893","1"
"3643564",""
"3651154",""
"3655012",""
"3655263","5"
"3655290",""
"3656328",""
"3657740","2"
"3658834",""
"3660132","11"
"3662837","1"
"3668229",""
"3670503","7"
"3670991","3"
"3674006","1"
"3674108",""
"3674849","1"
"3676430",""
"3679625","4"
"3682129",""
"3683302","13"
"3685548","30"
"3694016","3"
"3696216",""
"3696680","8"
"3698212",""
"3698572","2"
"3700039","6"
"3701999",""
"3702379","2"
"3705065",""
"3705208","3"
"3706177","18"
"3708192","1"
"3711676",""
"3716179",""
"3719065","2"
"3719544","1"
"3721513",""
"3725011","1"
"3727468","1"
"3731685",""
"3744499","1"
"3749556","4"
"3750274","1"
"3751328","1"
"3752075","2"
"3756257","11"
"3759651",""
"3760519",""
"3761737","38"
"3765582",""
"3769622","5"
"3772961",""
"3773061","0"
"3775483","6"
"3778067","3"
"3778096",""
"3784062","0"
"3786601",""
"3793296","1"
"3795951",""
"3796345",""
"3797268","1"
"3797704","12"
"3798733","3"
"3800417","1"
"3807154","1"
"3809185",""
"3810623","2"
"3811302","3"
"3811629",""
"3811711",""
"3817330","1"
"3818886","21"
"3819184","1"
"3823054",""
"3825652","0"
"3829282",""
"3832057","1"
"3836135",""
"3837544","1"
"3853140","1"
"3859053",""
"3861978",""
"3865148","1"
"3866457","4"
"3867755","1"
"3868036",""
"3868829",""
"3871636",""
"3872154","1"
"3873785",""
"3879565","2"
"3883165","1"
"3883980","2"
"3891616","11"
"3891707","1"
"3893644","7"
"3895467","3"
"3902688","8"
"3910735","1"
"3910745",""
"3915644","2"
"3918108",""
"3918492",""
"3929148",""
"3931516",""
"3933136",""
"3933145","1"
"3939447","18"
"3941351",""
"3942939",""
"3947558","15"
"3950486",""
"3954611","23"
"3955974",""
"3958152",""
"3959700","1"
"3960802",""
"3970552","2"
"3972704","1"
"3972746",""
"3973090",""
"3974890",""
"3976486","2"
"3976713","1"
"3980393","2"
"3982502","4"
"3985080","2"
"3990560",""
"3991725","0"
"3995217",""
"3997479","1"
"3998629",""
"3999758",""
"4003048",""
"4003142","0"
"4008062","2"
"4009540","1"
"4012713","3"
"4019461","0"
"4020652","0"
"4025535",""
"4025610",""
"4026057",""
"4026856","2"
"4032408",""
"4032985","7"
"4033359",""
"4040353",""
"4044925",""
"4046615",""
"4050869",""
"4056838","1"
"4062307","20"
"4062413","3"
"4065379","53"
"4067739","4"
"4069060","5"
"4070973","1"
"4071907",""
"4074877",""
"4082045",""
"4082268","1"
"4084554","2"
"4089016","1"
"4090021","6"
"4096437",""
"4097024",""
"4101460",""
"4107895","1"
"4108629","4"
"4110102","1"
"4115861","3"
"4123752",""
"4125615",""
"4125866",""
"4129179",""
"4129622",""
"4129631","1"
"4130409",""
"4135519",""
"4142436","3"
"4145553",""
"4148010",""
"4150153","4"
"4153022","10"
"4153446","2"
"4159575","3"
"4161964",""
"4162240",""
"4165743","1"
"4167077","1"
"4169752",""
"4173309",""
"4177227","7"
"4178789",""
"4181671","5"
"4183646","7"
"4186592","2"
"4192087",""
"4193264","1"
"4196545","7"
"4197664",""
"4198457","1"
"4203766","6"
"4207646",""
"4211986",""
"4213453",""
"4214841","1"
"4216560","1"
"4217313",""
"4218135",""
"4226507",""
"4230516","20"
"4237970",""
"4245303","1"
"4249650",""
"4253297","1"
"4253878","1"
"4257027","3"
"4259082","2"
"4259149",""
"4259586","2"
"4262773","4"
"4268816","1"
"4269667",""
"4272534","1"
"4273048",""
"4276046","1"
"4276470","3"
"4276602",""
"4282405","1"
"4282857","1"
"4291618","1"
"4296812",""
"4302686","8"
"4304209","1"
"4307422","1"
"4310108",""
"4315286","2"
"4315366",""
"4316781",""
"4316944","1"
"4317964","1"
"4318780",""
"4321671",""
"4322243",""
"4324799","1"
"4325263","93"
"4327642",""
"4330922",""
"4332334","7"
"4332740","2"
"4335760",""
"4338416",""
"4343429","3"
"4345514",""
"4347924","26"
"4350115","1"
"4358146","4"
"4360530",""
"4363252","2"
"4363632","1"
"4363973",""
"4367544",""
"4370329",""
"4370629","2"
"4375450","1"
"4375830","1"
"4375885","1"
"4382144","5"
"4385010",""
"4385749",""
"4388385","7"
"4393948","0"
"4397062","14"
"4398874","7"
"4400645","1"
"4400774","9"
"4403793","4"
"4409088",""
"4409438",""
"4409639",""
"4409951","9"
"4413309","0"
"4413407","3"
"4413619",""
"4414648","1"
"4419168","5"
"4421536","4"
"4422833",""
"4427238","32"
"4428236","2"
"4429562",""
"4430480","2"
"4430803","0"
"4432115",""
"4440025","4"
"4440409",""
"4441641","5"
"4441742","1"
"4443698","4"
"4444516",""
"4445174","2"
"4451338",""
"4453144","3"
"4453880",""
"4461194",""
"4487445","0"
"4487525","8"
"4488624",""
"4489703","9"
"4489942","4"
"4491255",""
"4495950","24"
"4496849",""
"4501252",""
"4504280","9"
"4505333",""
"4505994",""
"4508555","6"
"4508779","1"
"4511954",""
"4513433","7"
"4515696","1"
"4516111","1"
"4518210",""
"4519905","1"
"4519933",""
"4520578","8"
"4521145",""
"4522312","1"
"4522954","2"
"4523350","0"
"4525884","1"
"4526612","9"
"4528221","2"
"4528443",""
"4529530","3"
"4530779","1"
"4533201",""
"4533755",""
"4534370","7"
"4538056",""
"4540251",""
"4540972","11"
"4546828",""
"4549736","0"
"4551263","13"
"4553726","2"
"4554331",""
"4555206","4"
"4566830","2"
"4567846","1"
"4572955",""
"4578506","1"
"4579549","1"
"4579940",""
"4580982","13"
"4584775","1"
"4585198","2"
"4587509","2"
"4591818","7"
"4593674","1"
"4594048","4"
"4597659","3"
"4598231",""
"4599113","4"
"4604458","1"
"4606229","4"
"4607265",""
"4613205",""
"4613949","1"
"4615163","10"
"4616358",""
"4618499",""
"4619253",""
"4629566","1"
"4633108","2"
"4634124","5"
"4635425","7"
"4638563","2"
"4642456",""
"4644935",""
"4646548",""
"4648005",""
"4648313",""
"4649994",""
"4655707",""
"4658052",""
"4663147","13"
"4663534","1"
"4665170","1"
"4666586",""
"4669090",""
"4670309",""
"4675854",""
"4679348",""
"4680448","1"
"4683848",""
"4685741","1"
"4689613",""
"4692104",""
"4692509","0"
"4697034",""
"4705213",""
"4706995","14"
"4709736",""
"4713635",""
"4717467",""
"4721020",""
"4723729","1"
"4736413","2"
"4737841","34"
"4738052",""
"4738397",""
"4742321","1"
"4743915",""
"4744864","1"
"4745596","4"
"4746641",""
"4746769",""
"4751157","4"
"4755329",""
"4755499","1"
"4757037","3"
"4757805",""
"4760254",""
"4764611","19"
"4774361",""
"4774712","1"
"4774805",""
"4775052","0"
"4775548","16"
"4776220","2"
"4776289",""
"4781034",""
"4783063","49"
"4787422","1"
"4788210",""
"4797460",""
"4799763",""
"4804271",""
"4807409",""
"4808172",""
"4808482",""
"4811963","10"
"4812134","7"
"4813134",""
"4813640","1"
"4815787",""
"4818502","1"
"4818934",""
"4821197",""
"4823058","1"
"4824395","7"
"4833989","1"
"4834714",""
"4837454","0"
"4844590",""
"4846823","3"
"4848335",""
"4857166",""
"4857702","18"
"4861865","2"
"4869267",""
"4869426","6"
"4869904","7"
"4872713",""
"4873509",""
"4874507","3"
"4876146","1"
"4877303","1"
"4878018","2"
"4880303","1"
"4882545","1"
"4882830",""
"4884053","1"
"4885290","1"
"4887286",""
"4888176","3"
"4888240","2"
"4892142",""
"4892572",""
"4893565",""
"4894882",""
"4894954","8"
"4895773","8"
"4898092","2"
"4899450",""
"4901261",""
"4901945","1"
"4902764",""
"4905281","1"
"4912269",""
"4913195",""
"4913211","6"
"4914033","1"
"4914196","1"
"4915230","0"
"4923362",""
"4926126","8"
"4932958","2"
"4932989",""
"4935219","1"
"4936807","33"
"4937790",""
"4942324",""
"4943127","1"
"4945829","4"
"4954002",""
"4955309","1"
"4955493",""
"4956627","1"
"4962756",""
"4967936",""
"4970016","3"
"4970681","2"
"4974229",""
"4975220","1"
"4975843","1"
"4977077",""
"4984870",""
"4984984","1"
"4985514","1"
"4989063","115"
"4995906","2"
"4998017","1"
"4999194",""
"5001085","1"
"5002757",""
"5003565","4"
"5006538",""
"5006691","4"
"5007995","1"
"5008633","2"
"5011201","5"
"5011792","3"
"5012231","1"
"5015716","3"
"5015778",""
"5015815",""
"5019210",""
"5023348","1"
"5025211","0"
"5026379",""
"5026536",""
"5029685",""
"5029972","2"
"5032132","1"
"5037778","2"
"5042045",""
"5042581",""
"5046482","5"
"5048503","3"
"5049119","2"
"5050990",""
"5051191",""
"5054065","1"
"5056542",""
"5058481","1"
"5063481",""
"5063648",""
"5065303",""
"5069795","2"
"5072412","1"
"5072755","2"
"5076596",""
"5079084",""
"5080324","1"
"5080496","2"
"5081175",""
"5085475",""
"5085884","1"
"5087137","6"
"5087914",""
"5092375","2"
"5093250","0"
"5098348",""
"5099204","2"
"5101244",""
"5103083","17"
"5105248","1"
"5108463","3"
"5108926","3"
"5112422","1"
"5113762","1"
"5114272","6"
"5116008","1"
"5118168","2"
"5119127",""
"5127379","18"
"5129399",""
"5132600",""
"5139801",""
"5141637","2"
"5144186","2"
"5144978","5"
"5152122","1"
"5152792","1"
"5154804",""
"5156628","2"
"5157902","0"
"5160904",""
"5170457","1"
"5172069","2"
"5174111",""
"5179476",""
"5182557","1"
"5182564",""
"5183812",""
"5185554","2"
"5186715",""
"5188252","2"
"5188371","4"
"5189785",""
"5191778","2"
"5199554","4"
"5199951","1"
"5206010","27"
"5206859","6"
"5207930",""
"5207974",""
"5219296",""
"5220325",""
"5220761","49"
"5224477","1"
"5226753","2"
"5228756","1"
"5231561","0"
"5234734",""
"5235319","2"
"5235442",""
"5242593","3"
"5249350",""
"5251723","2"
"5252040","4"
"5252263",""
"5252800","1"
"5252940","2"
"5255226",""
"5256316","1"
"5259263",""
"5262779","0"
"5263156","4"
"5268865","2"
"5269618",""
"5271189",""
"5271731","1"
"5277991",""
"5278586",""
"5280638","5"
"5280827","23"
"5283864","1"
"5292074","5"
"5293103",""
"5296825","2"
"5297779","1"
"5298052",""
"5299164","2"
"5301485",""
"5302888","1"
"5307317",""
"5307398",""
"5307499","5"
"5310113","4"
"5310147","1"
"5310223","3"
"5314782","8"
"5316838",""
"5322055",""
"5323266",""
"5325332",""
"5332505",""
"5335916","1"
"5336280","4"
"5339702",""
"5344507",""
"5345630",""
"5346002","3"
"5352223",""
"5352822",""
"5354425",""
"5355936","2"
"5356059",""
"5356637",""
"5356850","0"
"5357736",""
"5358662",""
"5359259","4"
"5359902","1"
"5360714","1"
"5362808","1"
"5370724",""
"5373612",""
"5380686","1"
"5386295",""
"5386302","3"
"5387793",""
"5389804","1"
"5394360","1"
"5395158",""
"5397285",""
"5400014","3"
"5401221",""
"5402723",""
"5406773","4"
"5408396","3"
"5408581","1"
"5408767","3"
"5410132",""
"5413498",""
"5415623","1"
"5416194","7"
"5417185",""
"5423672",""
"5425129",""
"5427357",""
"5430529","1"
"5431359","18"
"5432194",""
"5435265","3"
"5437098",""
"5438087","1"
"5441888","1"
"5443059",""
"5446080","16"
"5452697",""
"5453886","1"
"5454604","0"
"5455635","2"
"5456160","1"
"5457146","1"
"5458892","3"
"5460325",""
"5466540",""
"5466986",""
"5468168",""
"5470598",""
"5475994",""
"5476974","2"
"5477708","2"
"5485943","4"
"5487998","2"
"5488401","8"
"5488430",""
"5498434",""
"5502832",""
"5506112",""
"5508301","3"
"5511643","1"
"5513661","5"
"5513957",""
"5514292","0"
"5520640","14"
"5520743","1"
"5524041",""
"5526008","11"
"5527423","15"
"5527512","2"
"5529909",""
"5533162","1"
"5533893","5"
"5537252",""
"5538606",""
"5539586",""
"5540820",""
"5542765","2"
"5544057","2"
"5546268",""
"5553624",""
"5554085",""
"5556132","5"
"5558254",""
"5559182","0"
"5560119","2"
"5563286","1"
"5564533","0"
"5570834","2"
"5571071",""
"5572827",""
"5573968","0"
"5574193","1"
"5578701",""
"5578840","1"
"5580032",""
"5583041",""
"5583380",""
"5587656","3"
"5589489","4"
"5592112","11"
"5594743",""
"5594767",""
