postid,links,tags,title,question,answers,Related
3033,https://api.github.com/repos/greenplum-db/gpdb/issues/3033,pr,doc add checksum overview admin guid,pr add overview heap append optim checksum high avail section gpdb admin guid pleas check especi ao checksum describ correctli gp append block verifi guc document mention thank,writeup look good given brand new featur think need saniti check dev take look volunt someon,Yes
257,https://api.github.com/repos/future-architect/vuls/issues/257,issue,display vendor support inform vulner inform nvd,current vulner inform nvd detail indic distribut support site vulner inform import vulner inform distribut support site beforehand display inform nvd,want review clair leverag oval data provid vendor exampl provid oval inform errata cve oracl linux either singl combin file individu file year oval data machin readabl xml pretti simpl import done,Yes
38181,https://api.github.com/repos/golang/go/issues/38181,issue,crypto x unabl pars pkc rsa privat key microsoft termin servic sign key,pleas answer question submit issu thank question pleas one forum version go use go version go version go window amd issu reproduc latest releas yes oper system processor architectur use go env output go env goarch amd goo window convert rsa privat key pem tri load crypto x manual verifi pem valid expect see abl pars pem rsa privat key contain insid see instead error asn structur error integ larg probabl relat,relev check fix public expon still fit bit uint instead int chang enough make work idea implic especi consid unfortun int uint bit machin hold valu lower want consist across architectur expon rare unnecessari,Yes
88,https://api.github.com/repos/pokeb/asi-http-request/issues/88,issue,asicachedeleg bypass restor cach,asihttprequest bypass asicachedeleg protocol directli read cach data disk bool usedatafromcach fin follow line therequest setrawresponsedata nsmutabledata datawithcontentsoffil datapath rather expect someth therequest setrawresponsedata nsmutabledata datawithdata self downloadcach cachedresponsedataforrequest self read directli disk prevent implement custom cach disk,v mani thank let know best ben,Yes
3347,https://api.github.com/repos/modxcms/revolution/issues/3347,issue,try renam imag file folder asset imag error,cmsgeek creat redmin issu id folder insid folder asset file renamepngtest png rightclick filenam choos renam dialog box come path asset imag renamepngtest png old name renamepngtest png fill new name renamepngtest new png errormessag pleas specifi valid directori home www modx test cmsgeek dk asset imag renamepngtest png aceept custum hope fix,splittingr submit fix,Yes
9464,https://api.github.com/repos/goharbor/harbor/issues/9464,issue,registri endpoint test connect use credenti,expect behavior actual behavior expect endpoint test connect provid credenti harbor replic servic ping test appear case appear credenti use pleas advis credenti suppli use harbor endpoint test connect fail ping endpoint access id test access secret registri nginx proxi log target registri pier appear show credenti pass info user password provid basic authent client x x server pier domain com request v http host pier domain com x x oct v http pier domain com info client x x close keepal connect info user password provid basic authent client x x server pier domain com request head v http host pier domain com x x oct head v http harbor replic servic pier domain com use curl test endpoint credenti show behavior curl vk x head head v http user agent curl host pier domain com accept http unauthor registri nginx proxi log info user password provid basic authent client x x server pier domain com request head v http host pier domain com use curl access id access secret work shown test account use curl vk x head u test host password user test head v http author basic dgvzddpkb n user agent curl host pier domain com accept http ok registri nginx proxi log x x test oct head v http curl basic dgvzddpkb pier domain com step reproduc problem pleas verifi credenti pass version pleas specifi version follow system harbor version docker engin version ce docker compos version,someon verifi issu still open issu anyon els pleas confirm issu harbor use credenti test privat docker registri therefor replic work harbor privat registri pleas check,Yes
23483,https://api.github.com/repos/facebook/react-native/issues/23483,pr,fix updat jest remov prototyp pollut secur bug,summari jest packag secur due handlebar packag that updat packag result run changelog gener secur updat jest remov prototyp pollut secur bug test plan,failur warn lock packag js dangerid danger id default warn warn lock packag json chang made packag json requir manual import facebook employe gener entri sign dangerj e c c e b b ff c low vulner due use packag low sever look jest unfortun upgrad github howev current land diff intern fb upgrad jest sync soon,Yes
413,https://api.github.com/repos/SignalR/SignalR/issues/413,issue,foreverfram transport handl embed script tag properli,foreverfram transport emit json surround element json emit contain string valu insid pars browser close script tag thu result untermin json string script actual interpret browser need detect escap tag messag browser see close element,,Yes
5449,https://api.github.com/repos/inverse-inc/packetfence/issues/5449,issue,saml authent googlesuit work,describ bug hi got error setup saml authent googlesuit error mac e b e caught except captiveport control root dynam applic string call method attribut hash ref strict ref usr local pf lib pf authent sourc samlsourc pm line captiveport packetf control root end reproduc step reproduc behavior setup lab follow ad vlan enforc exist instal instal guid v setup saml follow saml authent instal guid v enabl ip mac lookup pfdhcp ip mac lookup enabl packetf configur rtf captur saml configur login step rtf captur login step final error packetf log usr local pf log packetf log expect behavior user devic authent googlesuit cisco g switch chang port vlan desktop pleas complet follow inform os window browser ms edg firefox chrome packetf v,hello pleas packetf user kind issu,Yes
7396,https://api.github.com/repos/aspnet/Mvc/issues/7396,issue,complet disabl antiforgeri,hi tri complet disabl antiforgeri seem possibl document seem suggest use addmvccor servic disabl anti forgeri whilst seem true token valid aspnet antiforgeri token still get cooki request omit tri manual remov servic anti forgeri relat throw except attempt view view invalidoperationexcept unabl resolv servic type microsoft aspnetcor antiforgeri iantiforgeri attempt activ microsoft aspnetcor mvc viewfeatur defaulthtmlgener complet rid cooki issu know renam realli point thank,web api need send client suggest provid detail startup class seem use view app call bring antiforgeri servic along compon view form taghelp gener antiforgeri token automat like reason see cooki extrem discourag disabl antiforgeri app develop sort app access browser accept form encod content choos believ disabl antiforgeri gener per form basi ad asp antiforgeri fals form global taghelp initi see cooki recap use view see cooki disabl antiforgeri form tag helper potenti compon gener automat see cooki close action requir global taghelp initi anyon explain disabl global mention,Yes
5614,https://api.github.com/repos/msys2/MINGW-packages/issues/5614,issue,pgp problem curl,try compil curl fresh msi instal window updat pacman suuy use packag build instruct freshli download mingw packag repositori command makepkg mingw sclf pgp error curl tar bz mislukt onbekend publiek sleutel cc fdb e c translat curl tar bz fail unknown public key cc fdb e c compil success command makepkg mingw skippgpcheck sclf unsecur tip solv,thank issu ignor work perfectli,Yes
7374,https://api.github.com/repos/mattermost/mattermost-server/issues/7374,issue,signin login request show password debug tool firebug,summari login mattermost login request show password debug tool firebug step reproduc instal firebug debug tool try login mattermost check request debug tool see password text expect behavior password encrypt send login request server,afaik pretti much websit even hotmail googl abl view password use debug tool worri one intercept request aka mitm attack even ssl still suffer need combin ssl hpkp secur ssl pin certif worri malici code read password well even wors machin question infect case grab password hash hash one thing server know actual user password per say anyon read request still abl hash password directli good articl miss point go bit detail appreci total agre ssl hash password etc stuf problem someon password easili debugg tool alreadi open login login googl abl see password plain text someth interest clear request histori debug tool get login success respons think simpl technic think mattermost architectur realli impress awesom great work login googl abl see password plain text someth interest clear request histori debug tool get login success respons yes probabl look right request clearli see password use firebug googl hotmail major compani valu secur everyth els googl exampl check request contain plain text password someon password use debugg tool firebug machin need least compromis person requir physic access,Yes
14168,https://api.github.com/repos/phpmyadmin/phpmyadmin/issues/14168,issue,fa allow return login page,think help link two factor login page enter authent code allow one return main login page sever set log credenti two factor authent enabl chang mind one return main page,alreadi exist,Yes
828,https://api.github.com/repos/SeleniumHQ/selenium/issues/828,issue,test autofil usernam password setup browser alreadi store pair usernam password,need test browser auto fill login form includ browser ie mean browser open alreadi specif pair store selenium offer api store browser inform manual log time let first time store pair,question rather issu pleas send question selenium user issu pleas provid concis reproduc test describ result see result expect see,Yes
13546,https://api.github.com/repos/fastlane/fastlane/issues/13546,pr,match need encrypt save,fix problem solut need decrypt nuke inspect profil correct uuid need encrypt save,congratul tada releas part fastlan rocket,Yes
1656,https://api.github.com/repos/DynamoRIO/dynamorio/issues/1656,issue,memori leak freez coars unit place,yet anoth bug see earli inject xref time leak seem come freez ls td log cl head look vm area coars region freez miss call coars unit free place merg,,Yes
1180,https://api.github.com/repos/bitcoinjs/bitcoinjs-lib/issues/1180,issue,prevoutscript scripthash requir redeemscript emit even redeem script exist,creat transactionbuild object exist transact sign input error thrown prevoutscript scripthash requir redeemscript even redeem script exist insid input avoid add redeem script third paramet sign method expect behaviour sign function check redeem script exist insid input extra redeem script provid paramet,pleas provid reproduct code hi basic receiv multisig transact without signatur sign one privat key input contain redeem script great interest part one throw error fix transact said use access inform via api thank tri access tx ins properti undefin reason anyway think getter input ad transactionbuild api awesom thank use test fixtur directli thank bug report,Yes
865,https://api.github.com/repos/AdguardTeam/AdGuardHome/issues/865,issue,login page instead browser login,similar modern router gateway modem login page pi hole see adguard home login page instead reli browser show form field need reli client browser allow user login save via password manag lastpass bitwarden etc opportun protect method two factor auth recaptcha rememb checkbox pi hole allow stay log day memori,vote think exact thing morn need still continu support http basic auth api backward compat add option multipl user configur file expos ui yet provid two page login page see forgot password page static text go config file chang password,Yes
325,https://api.github.com/repos/containers/buildah/issues/325,pr,credenti kpod login buildah,buildah push credenti store xdg runtim dir contain auth json kpod login auth file path chang buildah push credenti custom auth file use authfil flag e g buildah push authfil tmp auth myauth json alpin docker usernam imag sign urvashi mohnani,ptal buildah bud need support doc nit add refer kpod man page need rememb circl back touch name chang ad authifl buildah bud r pushpin commit bad approv zap test exempt pull fulli rebas alreadi test,Yes
527,https://api.github.com/repos/SUSE/Portus/issues/527,issue,client certif upstream authent,configur portu accept client certif fall back auth go make happen portu make header remot user make easier grant permiss build server still allow user usernam password login,make sens familiar rail difficult omni auth look omniauth provid issu mention omniauth provid well short plan next mileston take consider cours pr alway make easier progress report interest pr omniauth support someth limit,Yes
416,https://api.github.com/repos/vmg/redcarpet/issues/416,pr,make img src url safe safe link enabl,ad imag src javascript freez firefox propos make img src safe safe link enabl cc,thank much awesom heart,Yes
8333,https://api.github.com/repos/spring-projects/spring-security/issues/8333,issue,password grant credenti oauth,secur vulner pleas summari tri webclient oauth authent password grant type find properli usernam password applic relev paramet receiv form reason tri programat e without bean approach probabl wrong begin though actual behavior unsur go around set usernam password accord latest oauth secur best current practic disallow password grant entir expect behavior expect abl access protect resourc use password grant type configur noth particular version sampl relev code edit creat question,usag document refer pleas review follow link oauth authorizedclientmanag resourc owner password well question better suit stack mention guidelin prefer github issu bug enhanc feel free updat issu link post question peopl find add detail feel genuin bug,Yes
